spu_filename,Date,Site,Block,Treatment ,Replicate,Location ,FileNum,Notes,Weather
2019-06-02_LMAT_00001.spu,2019-06-02,LMAT,"B1, B2, B3, B4",REF,1,NA,1,NA,"sunny & clear; some high, thin clouds"
2019-06-02_LMAT_00002.spu,2019-06-02,LMAT,"B1, B2, B3, B4",REF,2,NA,2,NA,"sunny & clear; some high, thin clouds"
2019-06-02_LMAT_00003.spu,2019-06-02,LMAT,"B1, B2, B3, B4",REF,3,NA,3,NA,"sunny & clear; some high, thin clouds"
2019-06-02_LMAT_00004.spu,2019-06-02,LMAT,"B1, B2, B3, B4",REF,4,NA,4,NA,"sunny & clear; some high, thin clouds"
2019-06-02_LMAT_00005.spu,2019-06-02,LMAT,"B1, B2, B3, B4",REF,5,NA,5,NA,"sunny & clear; some high, thin clouds"
2019-06-02_LMAT_00006.spu,2019-06-02,LMAT,B1,F2,1,normal 1S,6,"""normal 1S"" in location indicates measurement taken at \silver tag on the boardwalk (tagged 2018); likewise for 2S, 3S, 4S, 5S following direction indicates in LTER plot maps (2018 copy, blue arrow)",NA
2019-06-02_LMAT_00007.spu,2019-06-02,LMAT,B1,F2,1.25,NA,7,NA,NA
2019-06-02_LMAT_00008.spu,2019-06-02,LMAT,B1,F2,1.5,NA,8,NA,NA
2019-06-02_LMAT_00009.spu,2019-06-02,LMAT,B1,F2,1.75,NA,9,NA,NA
2019-06-02_LMAT_00010.spu,2019-06-02,LMAT,B1,F2,2,normal 2S,10,NA,NA
2019-06-02_LMAT_00011.spu,2019-06-02,LMAT,B1,F2,2.2,NA,11,NA,NA
2019-06-02_LMAT_00012.spu,2019-06-02,LMAT,B1,F2,2.4,NA,12,NA,NA
2019-06-02_LMAT_00013.spu,2019-06-02,LMAT,B1,F2,2.6,NA,13,NA,NA
2019-06-02_LMAT_00014.spu,2019-06-02,LMAT,B1,F2,2.8,NA,14,NA,NA
2019-06-02_LMAT_00015.spu,2019-06-02,LMAT,B1,F2,3,normal 3S,15,NA,NA
2019-06-02_LMAT_00016.spu,2019-06-02,LMAT,B1,F2,3.2,NA,16,NA,NA
2019-06-02_LMAT_00017.spu,2019-06-02,LMAT,B1,F2,3.4,NA,17,NA,NA
2019-06-02_LMAT_00018.spu,2019-06-02,LMAT,B1,F2,3.6,NA,18,NA,NA
2019-06-02_LMAT_00019.spu,2019-06-02,LMAT,B1,F2,3.8,NA,19,NA,NA
2019-06-02_LMAT_00020.spu,2019-06-02,LMAT,B1,F2,4,normal 4S,20,NA,NA
2019-06-02_LMAT_00021.spu,2019-06-02,LMAT,B1,F2,4.2,NA,21,NA,NA
2019-06-02_LMAT_00022.spu,2019-06-02,LMAT,B1,F2,4.4,NA,22,NA,NA
2019-06-02_LMAT_00023.spu,2019-06-02,LMAT,B1,F2,4.6,NA,23,NA,NA
2019-06-02_LMAT_00024.spu,2019-06-02,LMAT,B1,F2,4.8,NA,24,NA,NA
2019-06-02_LMAT_00025.spu,2019-06-02,LMAT,B1,F2,5,normal 5S,25,NA,NA
2019-06-02_LMAT_00026.spu,2019-06-02,LMAT,B1,GH,1,NA,26,NA,NA
2019-06-02_LMAT_00027.spu,2019-06-02,LMAT,B1,GH,2,NA,27,NA,NA
2019-06-02_LMAT_00028.spu,2019-06-02,LMAT,B1,GH,3,NA,28,NA,NA
2019-06-02_LMAT_00029.spu,2019-06-02,LMAT,B1,GH,4,NA,29,NA,NA
2019-06-02_LMAT_00030.spu,2019-06-02,LMAT,B1,GH,5,NA,30,NA,NA
2019-06-02_LMAT_00031.spu,2019-06-02,LMAT,B1,GH-CT,1,normal 1S,31,NA,NA
2019-06-02_LMAT_00032.spu,2019-06-02,LMAT,B1,GH-CT,1.2,NA,32,NA,NA
2019-06-02_LMAT_00033.spu,2019-06-02,LMAT,B1,GH-CT,1.4,NA,33,NA,NA
2019-06-02_LMAT_00034.spu,2019-06-02,LMAT,B1,GH-CT,1.6,NA,34,NA,NA
2019-06-02_LMAT_00035.spu,2019-06-02,LMAT,B1,GH-CT,1.8,NA,35,NA,NA
2019-06-02_LMAT_00036.spu,2019-06-02,LMAT,B1,GH-CT,2,normal 2S,36,NA,NA
2019-06-02_LMAT_00037.spu,2019-06-02,LMAT,B1,GH-CT,2.2,NA,37,NA,NA
2019-06-02_LMAT_00038.spu,2019-06-02,LMAT,B1,GH-CT,2.4,NA,38,NA,NA
2019-06-02_LMAT_00039.spu,2019-06-02,LMAT,B1,GH-CT,2.6,NA,39,NA,NA
2019-06-02_LMAT_00040.spu,2019-06-02,LMAT,B1,GH-CT,2.8,NA,40,NA,NA
2019-06-02_LMAT_00041.spu,2019-06-02,LMAT,B1,GH-CT,3,normal 3S,41,NA,NA
2019-06-02_LMAT_00042.spu,2019-06-02,LMAT,B1,GH-CT,3.2,NA,42,NA,NA
2019-06-02_LMAT_00043.spu,2019-06-02,LMAT,B1,GH-CT,3.4,NA,43,NA,NA
2019-06-02_LMAT_00044.spu,2019-06-02,LMAT,B1,GH-CT,3.6,NA,44,NA,NA
2019-06-02_LMAT_00045.spu,2019-06-02,LMAT,B1,GH-CT,3.8,NA,45,NA,NA
2019-06-02_LMAT_00046.spu,2019-06-02,LMAT,B1,GH-CT,4,normal 4S,46,NA,NA
2019-06-02_LMAT_00047.spu,2019-06-02,LMAT,B1,GH-CT,4.2,NA,47,NA,NA
2019-06-02_LMAT_00048.spu,2019-06-02,LMAT,B1,GH-CT,4.4,NA,48,NA,NA
2019-06-02_LMAT_00049.spu,2019-06-02,LMAT,B1,GH-CT,4.6,NA,49,NA,NA
2019-06-02_LMAT_00050.spu,2019-06-02,LMAT,B1,GH-CT,4.8,NA,50,NA,NA
2019-06-02_LMAT_00051.spu,2019-06-02,LMAT,B1,GH-CT,5,normal 5S,51,NA,NA
2019-06-02_LMAT_00052.spu,2019-06-02,LMAT,B1,F5,1,normal 1S,52,"normal 1S // rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00053.spu,2019-06-02,LMAT,B1,F5,1.2,NA,53,"rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00054.spu,2019-06-02,LMAT,B1,F5,1.4,NA,54,"rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00055.spu,2019-06-02,LMAT,B1,F5,1.6,NA,55,"rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00056.spu,2019-06-02,LMAT,B1,F5,1.8,NA,56,"rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00057.spu,2019-06-02,LMAT,B1,F5,2,normal 2S,57,"normal 2S // rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00058.spu,2019-06-02,LMAT,B1,F5,2.2,NA,58,"rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00059.spu,2019-06-02,LMAT,B1,F5,2.4,NA,59,"rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00060.spu,2019-06-02,LMAT,B1,F5,2.6,NA,60,"rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00061.spu,2019-06-02,LMAT,B1,F5,2.8,NA,61,"rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00062.spu,2019-06-02,LMAT,B1,F5,3,normal 3S,62,"normal 3S // rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00063.spu,2019-06-02,LMAT,B1,F5,3.2,NA,63,"rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00064.spu,2019-06-02,LMAT,B1,F5,3.4,NA,64,"rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00065.spu,2019-06-02,LMAT,B1,F5,3.6,NA,65,"rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00066.spu,2019-06-02,LMAT,B1,F5,3.8,NA,66,"rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00067.spu,2019-06-02,LMAT,B1,F5,4,normal 4S,67,"normal 4S // rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00068.spu,2019-06-02,LMAT,B1,F5,4.2,NA,68,"rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00069.spu,2019-06-02,LMAT,B1,F5,4.4,NA,69,"rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00070.spu,2019-06-02,LMAT,B1,F5,4.6,NA,70,"rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00071.spu,2019-06-02,LMAT,B1,F5,5,NA,71,"normal 5S // rep 1 = file num 52; rep 5 = file num 71; inbetween unclear, hopefully accurate",NA
2019-06-02_LMAT_00072.spu,2019-06-02,LMAT,B1,F10,1,normal 1S,72,NA,NA
2019-06-02_LMAT_00073.spu,2019-06-02,LMAT,B1,F10,1.25,NA,73,NA,NA
2019-06-02_LMAT_00074.spu,2019-06-02,LMAT,B1,F10,1.5,NA,74,NA,NA
2019-06-02_LMAT_00075.spu,2019-06-02,LMAT,B1,F10,1.75,NA,75,NA,NA
2019-06-02_LMAT_00076.spu,2019-06-02,LMAT,B1,F10,2,normal 2S,76,NA,NA
2019-06-02_LMAT_00077.spu,2019-06-02,LMAT,B1,F10,2.2,NA,77,NA,NA
2019-06-02_LMAT_00078.spu,2019-06-02,LMAT,B1,F10,2.4,NA,78,NA,NA
2019-06-02_LMAT_00079.spu,2019-06-02,LMAT,B1,F10,2.6,NA,79,NA,NA
2019-06-02_LMAT_00080.spu,2019-06-02,LMAT,B1,F10,2.8,NA,80,NA,NA
2019-06-02_LMAT_00081.spu,2019-06-02,LMAT,B1,F10,3,normal 3S,81,NA,NA
2019-06-02_LMAT_00082.spu,2019-06-02,LMAT,B1,F10,3.2,NA,82,NA,NA
2019-06-02_LMAT_00083.spu,2019-06-02,LMAT,B1,F10,3.4,NA,83,NA,NA
2019-06-02_LMAT_00084.spu,2019-06-02,LMAT,B1,F10,3.6,NA,84,NA,NA
2019-06-02_LMAT_00085.spu,2019-06-02,LMAT,B1,F10,3.8,NA,85,NA,NA
2019-06-02_LMAT_00086.spu,2019-06-02,LMAT,B1,F10,4,normal 4S,86,NA,NA
2019-06-02_LMAT_00087.spu,2019-06-02,LMAT,B1,F10,4.2,NA,87,NA,NA
2019-06-02_LMAT_00088.spu,2019-06-02,LMAT,B1,F10,4.4,NA,88,NA,NA
2019-06-02_LMAT_00089.spu,2019-06-02,LMAT,B1,F10,4.6,NA,89,NA,NA
2019-06-02_LMAT_00090.spu,2019-06-02,LMAT,B1,F10,4.8,NA,90,NA,NA
2019-06-02_LMAT_00091.spu,2019-06-02,LMAT,B1,F10,5,normal 5S,91,NA,NA
2019-06-02_LMAT_00092.spu,2019-06-02,LMAT,B1,CT,1,normal 1S,92,NA,NA
2019-06-02_LMAT_00093.spu,2019-06-02,LMAT,B1,CT,1.2,NA,93,NA,NA
2019-06-02_LMAT_00094.spu,2019-06-02,LMAT,B1,CT,1.4,NA,94,NA,NA
2019-06-02_LMAT_00095.spu,2019-06-02,LMAT,B1,CT,1.6,NA,95,NA,NA
2019-06-02_LMAT_00096.spu,2019-06-02,LMAT,B1,CT,1.8,NA,96,NA,NA
2019-06-02_LMAT_00097.spu,2019-06-02,LMAT,B1,CT,2,normal 2S,97,NA,NA
2019-06-02_LMAT_00098.spu,2019-06-02,LMAT,B1,CT,2.2,NA,98,NA,NA
2019-06-02_LMAT_00099.spu,2019-06-02,LMAT,B1,CT,2.4,NA,99,NA,NA
2019-06-02_LMAT_00100.spu,2019-06-02,LMAT,B1,CT,2.6,NA,100,NA,NA
2019-06-02_LMAT_00101.spu,2019-06-02,LMAT,B1,CT,2.8,NA,101,NA,NA
2019-06-02_LMAT_00102.spu,2019-06-02,LMAT,B1,CT,3,normal 3S,102,NA,NA
2019-06-02_LMAT_00103.spu,2019-06-02,LMAT,B1,CT,3.2,NA,103,NA,NA
2019-06-02_LMAT_00104.spu,2019-06-02,LMAT,B1,CT,3.4,NA,104,NA,NA
2019-06-02_LMAT_00105.spu,2019-06-02,LMAT,B1,CT,3.6,NA,105,NA,NA
2019-06-02_LMAT_00106.spu,2019-06-02,LMAT,B1,CT,3.8,NA,106,NA,NA
2019-06-02_LMAT_00107.spu,2019-06-02,LMAT,B1,CT,4,normal 4S,107,NA,NA
2019-06-02_LMAT_00108.spu,2019-06-02,LMAT,B1,CT,4.2,NA,108,NA,NA
2019-06-02_LMAT_00109.spu,2019-06-02,LMAT,B1,CT,4.4,NA,109,NA,NA
2019-06-02_LMAT_00110.spu,2019-06-02,LMAT,B1,CT,4.6,NA,110,NA,NA
2019-06-02_LMAT_00111.spu,2019-06-02,LMAT,B1,CT,4.8,NA,111,NA,NA
2019-06-02_LMAT_00112.spu,2019-06-02,LMAT,B1,CT,5,normal 5S,112,NA,NA
2019-06-02_LMAT_00113.spu,2019-06-02,LMAT,B1,CT,1,normal 1S,113,NA,NA
2019-06-02_LMAT_00114.spu,2019-06-02,LMAT,B1,CT,1.2,NA,114,NA,NA
2019-06-02_LMAT_00115.spu,2019-06-02,LMAT,B1,CT,1.4,NA,115,NA,NA
2019-06-02_LMAT_00116.spu,2019-06-02,LMAT,B1,CT,1.6,NA,116,NA,NA
2019-06-02_LMAT_00117.spu,2019-06-02,LMAT,B1,CT,1.8,NA,117,NA,NA
2019-06-02_LMAT_00118.spu,2019-06-02,LMAT,B1,CT,2,normal 2S,118,NA,NA
2019-06-02_LMAT_00119.spu,2019-06-02,LMAT,B1,CT,2.2,NA,119,NA,NA
2019-06-02_LMAT_00120.spu,2019-06-02,LMAT,B1,CT,2.4,NA,120,NA,NA
2019-06-02_LMAT_00121.spu,2019-06-02,LMAT,B1,CT,2.6,NA,121,NA,NA
2019-06-02_LMAT_00122.spu,2019-06-02,LMAT,B1,CT,2.8,NA,122,NA,NA
2019-06-02_LMAT_00123.spu,2019-06-02,LMAT,B1,CT,3,normal 3S,123,NA,NA
2019-06-02_LMAT_00124.spu,2019-06-02,LMAT,B1,CT,3.2,NA,124,NA,NA
2019-06-02_LMAT_00125.spu,2019-06-02,LMAT,B1,CT,3.4,NA,125,NA,NA
2019-06-02_LMAT_00126.spu,2019-06-02,LMAT,B1,CT,3.6,NA,126,NA,NA
2019-06-02_LMAT_00127.spu,2019-06-02,LMAT,B1,CT,3.8,NA,127,NA,NA
2019-06-02_LMAT_00128.spu,2019-06-02,LMAT,B1,CT,4,normal 4S,128,NA,NA
2019-06-02_LMAT_00129.spu,2019-06-02,LMAT,B1,CT,4.2,NA,129,NA,NA
2019-06-02_LMAT_00130.spu,2019-06-02,LMAT,B1,CT,4.4,NA,130,NA,NA
2019-06-02_LMAT_00131.spu,2019-06-02,LMAT,B1,CT,4.6,NA,131,NA,NA
2019-06-02_LMAT_00132.spu,2019-06-02,LMAT,B1,CT,4.8,NA,132,NA,NA
2019-06-02_LMAT_00133.spu,2019-06-02,LMAT,B1,CT,5,normal 5S,133,NA,NA
2019-06-02_LMAT_00134.spu,2019-06-02,LMAT,B1,F0.5,1,normal 1S,134,NA,NA
2019-06-02_LMAT_00135.spu,2019-06-02,LMAT,B1,F0.5,1.2,NA,135,NA,NA
2019-06-02_LMAT_00136.spu,2019-06-02,LMAT,B1,F0.5,1.4,NA,136,NA,NA
2019-06-02_LMAT_00137.spu,2019-06-02,LMAT,B1,F0.5,1.6,NA,137,NA,NA
2019-06-02_LMAT_00138.spu,2019-06-02,LMAT,B1,F0.5,1.8,NA,138,NA,NA
2019-06-02_LMAT_00139.spu,2019-06-02,LMAT,B1,F0.5,2,normal 2S,139,NA,NA
2019-06-02_LMAT_00140.spu,2019-06-02,LMAT,B1,F0.5,2.2,NA,140,NA,NA
2019-06-02_LMAT_00141.spu,2019-06-02,LMAT,B1,F0.5,2.4,NA,141,NA,NA
2019-06-02_LMAT_00142.spu,2019-06-02,LMAT,B1,F0.5,2.6,NA,142,NA,NA
2019-06-02_LMAT_00143.spu,2019-06-02,LMAT,B1,F0.5,2.8,NA,143,NA,NA
2019-06-02_LMAT_00144.spu,2019-06-02,LMAT,B1,F0.5,3,normal 3S,144,NA,NA
2019-06-02_LMAT_00145.spu,2019-06-02,LMAT,B1,F0.5,3.2,NA,145,NA,NA
2019-06-02_LMAT_00146.spu,2019-06-02,LMAT,B1,F0.5,3.4,NA,146,NA,NA
2019-06-02_LMAT_00147.spu,2019-06-02,LMAT,B1,F0.5,3.6,NA,147,NA,NA
2019-06-02_LMAT_00148.spu,2019-06-02,LMAT,B1,F0.5,3.8,NA,148,NA,NA
2019-06-02_LMAT_00149.spu,2019-06-02,LMAT,B1,F0.5,4,normal 4S,149,NA,NA
2019-06-02_LMAT_00150.spu,2019-06-02,LMAT,B1,F0.5,4.2,NA,150,NA,NA
2019-06-02_LMAT_00151.spu,2019-06-02,LMAT,B1,F0.5,4.4,NA,151,NA,NA
2019-06-02_LMAT_00152.spu,2019-06-02,LMAT,B1,F0.5,4.6,NA,152,NA,NA
2019-06-02_LMAT_00153.spu,2019-06-02,LMAT,B1,F0.5,4.8,NA,153,NA,NA
2019-06-02_LMAT_00154.spu,2019-06-02,LMAT,B1,F0.5,5,normal 5S,154,NA,NA